,question,answers
0,Does a 40mm table tennis ball spin more or less than the original 38mm one?,A 40 mm table tennis ball is slower and spins less than the original 38 mm (1.5 inch) one.
1,What does Pink wear in the video?,Pink wears a black suit with her hair pushed back and dances with the woman (Mosh).
2,In what year was the Chilean National Museum of Fine Arts built?,"Museums in Chile such as the Chilean National Museum of Fine Arts built in 1880, feature works by Chilean artists."
3,"How many times was the who national ""fyrd"" called out between 1046 and 1065?","It was rare for the whole national ""fyrd"" to be called out; between 1046 and 1065 it was only done three times, in 1051, 1052, and 1065."
4,Who did Chris Messina play on The Mindy Project?,"In mid-March, Chris Messina joined the cast as Dr. Danny Castellano, an arrogant doctor who works at the practice."
5,Who is the host of Dancing with the Stars (U.S. TV series)?,"Tom Bergeron is the Emmy-winning host, alongside Erin Andrews, who is the new co-host for season eighteen."
6,If a golfer has ever played golf for money or received payment for giving instruction s/he may no longer be considered what type of golfer?,"Essentially, anybody who has ever received payment or compensation for giving instruction, or played golf for money, is not considered an amateur and may not participate in competitions limited solely to amateurs."
7,"Who painted ""Benefits Supervisor Sleeping""?","Contemporary painters include Lucian Freud, whose work ""Benefits Supervisor Sleeping"" in 2008 set a world record for sale value of a painting by a living artist."
8,How do fast food restaurants store their ketchup?,"In fast food outlets, ketchup is often dispensed in small packets."
9,Are bodyweight categories similar or different for the genders?,Bodyweight categories are different for women and men.
10,What is the name of Noah's youngest son?,"His youngest son, Ham, brings his two brothers Shem and Japheth to see the sight but they discreetly cover their father with a cloak."
11,How many people are of diffferent Christian denominations?,"Currently, there are about 120,000 people of different Christian denominations, representing less than 0.2% of Turkey's population, including an estimated 80,000 Oriental Orthodox, 35,000 Roman Catholics, 5,000 Greek Orthodox and smaller numbers of Protestants."
12,When did the Germans begin using chlorine gas on the Western Front?,"On 22 April 1915, at the Second Battle of Ypres, the Germans (violating the Hague Convention) used chlorine gas for the first time on the Western Front."
13,How much cholesterol is there in an ounce of bacon?,Each ounce of bacon contains 30 milligrams of cholesterol.
14,Who wrote the song Payphone?,"The song was written by Adam Levine, Benny Blanco, Ammar Malik, Robopop, Shellback and Khalifa and produced by Blanco and Shellback."
15,Is Inigo Jones British?,"British architect Inigo Jones, inspired by the designs of Italian buildings and cities, brought back the ideas of Italian Renaissance architecture to 17th-century England, being inspired by Andrea Palladio."
16,How much faster then broadband will the next-gen network be?,The country – already the world's most wired – plans to build a nationwide next-generation network which will be 10 times faster than broadband facilities in order to reduce energy usage.
17,What is the natural satellite of earth?,"It has one natural satellite, the Moon, the only large satellite of a terrestrial planet in the Solar System."
19,How many Despicable Me movies are there?,"It launched a franchise with a series of films, including a sequel in 2013, followed by a 2015 spin-off film featuring Gru's Minions as the main characters, and ""Despicable Me 3"" in 2017."
20,"The name ""Indonesia"" originates from where?","The name ""Indonesia"" derives from the Greek words ""Indós"" and ""nèsos"", which means ""island""."
21,When did the serviceman Henry Moore enroll at the Leeds School of Art?,"After the war Moore received an ex-serviceman's grant to continue his education and in 1919 he became a student at the Leeds School of Art (now Leeds College of Art), which set up a sculpture studio especially for him."
22,"In the movie ""How to Survive a Plague"", was Ray Navarro an actor?",Ray Navarro
23,What characters were removed from the parade?,"The parade originally had an additional section featuring characters from ""Ratatouille"" but was removed."
24,What is the name the cheese used in a tacos?,"The meat is generally topped with jack and/or cheddar cheese, lettuce and tomato (and sometimes avocado and/or sour cream), with salsa on top."
25,"How long is the Director's Cut of ""Das Boot""?","However, today's Director's Cut of ""Das Boot"" amounts to over 200 minutes, and the complete TV version of the film is 282 minutes long."
26,When did the international tournament at Wimbledon begin?, The international tournament began in 1925
27,What had Faraday concluded based on his electrochemical experiments?,"Faraday concluded after several experiments on electrical current in non-spontaneous process, the mass of the products yielded on the electrodes was proportional to the value of current supplied to the cell, the length of time the current existed, and the molar mass of the substance analyzed."
28,Who had the first measurable hit in 1951?,"The 1951 version by Perry Como was the first measurable hit, and in 1963 the Four Seasons version charted at #23 on Billboard."
29,"After what year was the ""Z"" number known as a physical characteristic of atoms?","Only after 1915, with the suggestion and evidence that this ""Z"" number was also the nuclear charge and a physical characteristic of atoms, did the word (and its English equivalent ""atomic number"") come into common use in this context."
30,"""Glee-The Complete First Season"" was first available when?","""Glee – The Complete First Season"" was released on September 13, 2010."
31,"As a result of the Napoleonic Wars, the British Empire rose in power, beginning the historical period known as what?","As a direct result of the Napoleonic wars, the British Empire became the foremost world power for the next century, thus beginning ""Pax Britannica""."
33,What amount was the ultimate cost of Disneyland Tokyo?,"Though successful in the building process, the final cost of Disneyland Tokyo almost doubled the estimated budget costing 180 billion yen rather than the projected 100 billion yen."
35,What is the origin of the kansui name?,"Originally, ""kansui"" was named after the water from Inner Mongolia's Lake Kan which contained large amounts of these minerals and was said to be perfect for making these noodles."
36,Where is Mount Rushmore located?,"The memorial is carved on the northwest margin of the Harney Peak granite batholith in the Black Hills of South Dakota, so the geologic formations of the heart of the Black Hills region are also evident at Mount Rushmore."
37,"In 30 Rock, why are Jenna and Tracy consistently in fear of losing their spotlight?","A recurring story arc early in the season revolved around Jack's request that Liz cast a new actor for ""TGS"", and Liz's subsequent search for the perfect comedian, much to the dismay of Jenna and Tracy, who fear losing their spotlight."
39,"What rating does Rotten Tomatoes give ""Gravity""?","Review aggregator Rotten Tomatoes gives the film a score of 97% based on reviews from 295 critics, with a ""Certified Fresh"" rating and an average score of 9.1/10."
40,What is the life expectancy in the UAE?,The life expectancy at birth in the UAE is at 78.5 years.
